  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:21 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    6 ?        I<     0:00 [kworker/0:0H-kb]
    9 ?        I<     0:00 [mm_percpu_wq]
   10 ?        S      0:00 [ksoftirqd/0]
   11 ?        I      0:10 [rcu_sched]
   12 ?        S      0:00 [migration/0]
   13 ?        S      0:00 [idle_inject/0]
   14 ?        S      0:00 [cpuhp/0]
   15 ?        S      0:00 [cpuhp/1]
   16 ?        S      0:00 [idle_inject/1]
   17 ?        S      0:00 [migration/1]
   18 ?        S      0:00 [ksoftirqd/1]
   20 ?        I<     0:00 [kworker/1:0H-kb]
   21 ?        S      0:00 [cpuhp/2]
   22 ?        S      0:00 [idle_inject/2]
   23 ?        S      0:00 [migration/2]
   24 ?        S      0:00 [ksoftirqd/2]
   26 ?        I<     0:00 [kworker/2:0H-kb]
   27 ?        S      0:00 [cpuhp/3]
   28 ?        S      0:00 [idle_inject/3]
   29 ?        S      0:00 [migration/3]
   30 ?        S      0:00 [ksoftirqd/3]
   32 ?        I<     0:00 [kworker/3:0H-kb]
   33 ?        S      0:00 [cpuhp/4]
   34 ?        S      0:00 [idle_inject/4]
   35 ?        S      0:00 [migration/4]
   36 ?        S      0:00 [ksoftirqd/4]
   38 ?        I<     0:00 [kworker/4:0H-kb]
   39 ?        S      0:00 [cpuhp/5]
   40 ?        S      0:00 [idle_inject/5]
   41 ?        S      0:00 [migration/5]
   42 ?        S      0:00 [ksoftirqd/5]
   44 ?        I<     0:00 [kworker/5:0H-kb]
   45 ?        S      0:00 [cpuhp/6]
   46 ?        S      0:00 [idle_inject/6]
   47 ?        S      0:00 [migration/6]
   48 ?        S      0:00 [ksoftirqd/6]
   50 ?        I<     0:00 [kworker/6:0H-kb]
   51 ?        S      0:00 [cpuhp/7]
   52 ?        S      0:00 [idle_inject/7]
   53 ?        S      0:00 [migration/7]
   54 ?        S      0:00 [ksoftirqd/7]
   56 ?        I<     0:00 [kworker/7:0H-kb]
   57 ?        S      0:00 [kdevtmpfs]
   58 ?        I<     0:00 [netns]
   59 ?        S      0:00 [rcu_tasks_kthre]
   60 ?        S      0:00 [kauditd]
   63 ?        S      0:00 [khungtaskd]
   64 ?        S      0:00 [oom_reaper]
   65 ?        I<     0:00 [writeback]
   66 ?        S      0:00 [kcompactd0]
   67 ?        SN     0:00 [ksmd]
   68 ?        SN     0:00 [khugepaged]
  161 ?        I<     0:00 [kintegrityd]
  162 ?        I<     0:00 [kblockd]
  163 ?        I<     0:00 [blkcg_punt_bio]
  168 ?        I<     0:00 [tpm_dev_wq]
  169 ?        I<     0:00 [ata_sff]
  170 ?        I<     0:00 [md]
  171 ?        I<     0:00 [edac-poller]
  172 ?        I<     0:00 [devfreq_wq]
  173 ?        S      0:00 [watchdogd]
  176 ?        S      0:00 [kswapd0]
  177 ?        I<     0:00 [kworker/u17:0-r]
  178 ?        S      0:00 [ecryptfs-kthrea]
  181 ?        I<     0:00 [kthrotld]
  182 ?        S      0:00 [irq/122-aerdrv]
  183 ?        S      0:00 [irq/123-aerdrv]
  184 ?        S      0:00 [irq/124-aerdrv]
  185 ?        I<     0:00 [acpi_thermal_pm]
  190 ?        I<     0:00 [ipv6_addrconf]
  201 ?        I<     0:00 [kstrp]
  220 ?        I<     0:00 [charger_manager]
  278 ?        S      0:00 [scsi_eh_0]
  279 ?        I<     0:00 [scsi_tmf_0]
  280 ?        S      0:00 [scsi_eh_1]
  281 ?        I<     0:00 [scsi_tmf_1]
  286 ?        I<     0:00 [kworker/2:1H-ev]
  287 ?        I<     0:00 [kworker/3:1H-ev]
  291 ?        I<     0:00 [kworker/0:1H-ev]
  322 ?        I<     0:00 [kworker/5:1H-ev]
  324 ?        S      0:00 [jbd2/sda1-8]
  325 ?        I<     0:00 [ext4-rsv-conver]
  327 ?        I<     0:00 [kworker/6:1H-ev]
  336 ?        I<     0:00 [kworker/7:1H-kb]
  366 ?        I<     0:00 [kworker/1:1H-kb]
  370 ?        I<     0:00 [kworker/4:1H-kb]
  372 ?        S<s    0:01 /lib/systemd/systemd-journald
  382 ?        S      0:00 bpfilter_umh
  406 ?        Ss     0:04 /lib/systemd/systemd-udevd
  440 ?        S<     0:00 [loop0]
  441 ?        S<     0:00 [loop1]
  442 ?        S<     0:00 [loop2]
  443 ?        S<     0:00 [loop3]
  445 ?        S<     0:00 [loop4]
  446 ?        S<     0:00 [loop5]
  447 ?        S<     0:00 [loop6]
  449 ?        S<     0:00 [loop7]
  450 ?        S<     0:00 [loop8]
  457 ?        S<     0:00 [loop9]
  458 ?        S<     0:00 [loop10]
  459 ?        S<     0:00 [loop11]
  460 ?        S<     0:00 [loop12]
  461 ?        S<     0:00 [loop13]
  462 ?        S<     0:00 [loop14]
